rentalid,branchcity,date,rentedcars,availablecars,avgdailytemp,isweekend,marketingspend,customerrating,holidayflag,fuelprice,promotiontype
RID2646,Chicago,10-07-2023,25.0,79.0,34.3,Yes,330.97,2.8,,1.89,None
RID2647,Chcago,07-14-2023,64.0,176.0,31.4,yes,183.57,4.1,,1.71,
RID2648,NYC,12/01/2023,141.0,126.0,6.3,Y,$175.08,4.6,N,1.93,Loyalty
RID2649,New York,02-24-2023,75.0,194.0,29.2,Y,450.39,4.4,N,1.75,None
RID2650,newyork,02/01/2023,1.0,143.0,-999,,59.53,3.2,Yes,1.42,None
RID2651,Ney York,2023-07-14,105.0,128.0,23.3,Y,318.78,3.1,no,1.84,Discount
RID2652,Chcago,13/01/2023,181.0,184.0,-3.8,No,465.99,3.5,Yes,1.51,None
RID2653,NYC,2023-10-15,178.0,220.0,40.0,Y,114.75,4.3,no,1.15,Loyalty
RID2654,Denver,03/01/2023,126.0,85.0,24.3,No,491.38,2.7,Yes,1.41,
RID2655,Houston,04/11/2023,59.0,87.0,-2.6,Y,410.39,2.9,no,1.94,Discount
RID2656,Chicago,2023-01-26,26.0,72.0,4.5,yes,164.17,4.9,Yes,1.37,Loyalty
RID2657,Denver,2023-01-16,73.0,129.0,30.9,Yes,205.0,2.0,N,1.62,Discount
RID2658,Chicago,32/13/2024,0.0,140.0,12.5,TRUE,86.56,2.9,,0.99,None
RID2659,Ney York,06-19-2023,174.0,288.0,22.4,Yes,$482.84,1.1,,1.97,None
RID2660,Los Angeles,11-26-2023,175.0,,12.2,,496.4,4.8,,1.28,loyalti
RID2661,Ney York,28/10/2023,60.0,192.0,14.5,TRUE,403.6,3.3,No,1.33,Discouunt
RID2662,Los Angeles,2023-05-03,25.0,62.0,-0.3,Yes,178.23,4.1,no,0.96,None
RID2663,Chicago,2023-01-12,41.0,234.0,6.1,,354.65,2.0,N,1.4,loyalti
RID2664,Denver,10-07-2023,4.0,231.0,hot,Yes,134.41,4.4,,1.63,Discount
RID2665,Chicago,02-14-2023,185.0,79.0,10.3,Y,403.39,2.6,no,1.24 USD,None
RID2666,LA,2023-08-24,103.0,237.0,32.1,Y,201.97,4.3,N,1.4,None
RID2667,LA,24/07/2023,82.0,232.0,-3.7,,411.02,3.5,no,1.64 USD,Loyalty
RID2668,Ney York,30/01/2023,148.0,91.0,31.1,No,$303.92,4.5,Yes,1.36,loyalti
RID2669,Houston,19/11/2023,175.0,241.0,28.6,,177.77,4.2,Yes,1.3,
RID2670,Denver,06-16-2023,9999.0,76.0,5.7,Y,380.09,4.3,No,"1,55",Discount
RID2671,New York,05-16-2023,165.0,123.0,18.5,Y,390.85,1.9,,1.35,
RID2672,Denver,10-15-2023,123.0,116.0,-3.2,,134.8,1.1,,1.24,Loyalty
RID2673,Ney York,2023-05-03,197.0,53.0,25.8,Yes,277.56,3.3,No,1.31,None
RID2674,Huston,03-13-2023,45.0,275.0,13.6,Y,$438.85,0.0,N,1.27,
RID2675,Chicago,10-20-2023,137.0,143.0,11.0,No,377.86,3.2,No,1.16,Discouunt
RID2676,LA,2023-08-02,,109.0,19.5,Y,400.57,2.8,,1.71,None
RID2677,Huston,17/03/2023,68.0,110.0,35.2,yes,433.84,4.8,No,0.91,loyalti
RID2678,Huston,23/05/2023,124.0,147.0,13.9,TRUE,60.42,1.4,N,1.47,Discount
RID2679,Huston,26/05/2023,193.0,79.0,19.5,No,348.3,4.3,,1.88,Loyalty
RID2680,Los Angeles,23/03/2023,83.0,223.0,29.7,Yes,358.16,1.9,,0.94,Discount
RID2681,Houston,2023-11-06,122.0,223.0,36.7,,407.93,0.0,Yes,1.09,
RID2682,NYC,2023-12-16,67.0,136.0,5.0,TRUE,68.84,0.0,,1.09,
RID2683,NYC,07/04/2023,33.0,60.0,35.9,,469.09,1.4,N,0.82,Loyalty
RID2684,Ney York,24/08/2023,37.0,174.0,8.5,Y,99.63,2.3,,1.28,loyalti
RID2685,Chcago,14/09/2023,60.0,295.0,27.1,,84.56,2.7,N,1.96,
RID2686,New York,12-22-2023,,160.0,-2.9,Yes,479.08,1.7,no,0.88,None
RID2687,LA,17/09/2023,4.0,219.0,-4.9,Y,$163.67,2.6,No,1.39,Discount
RID2688,Houston,2023-09-16,116.0,185.0,1.9,TRUE,$397.45,3.1,N,0.99,Discount
RID2689,Chicago,11-03-2023,89.0,151.0,8.1,Yes,269.66,1.2,no,0.91,
RID2690,Chicago,2023-10-07,145.0,79.0,-4.3,yes,369.17,3.4,No,1.79,Discouunt
RID2691,Denver,20/04/2023,111.0,205.0,-1.5,,105.46,3.1,no,1.63,
RID2692,denver,07-24-2023,171.0,250.0,14.8,TRUE,132.49,4.4,no,1.48,
RID2693,LA,02-23-2023,107.0,272.0,11.1,TRUE,260.83,4.9,No,1.22,
RID2694,Ney York,2023-08-22,153.0,278.0,-4.6,,117.31,3.3,,1.82,Loyalty
RID2695,NYC,2023-12-03,12.0,172.0,0.1,No,86.95,2.9,Yes,1.61,Discouunt
RID2696,newyork,01-29-2023,102.0,151.0,-3.4,TRUE,365.85,3.1,N,1.12,loyalti
RID2697,Denver,2023-04-05,42.0,178.0,1.2,No,433.54,3.4,no,1.08,Discouunt
RID2698,denver,2023-04-29,146.0,262.0,4.8,TRUE,489.21,0.0,No,0.87,Discouunt
RID2699,newyork,04-22-2023,178.0,225.0,21.9,Yes,71.87,3.7,,1.55,loyalti
RID2700,Denver,2023-07-27,15.0,86.0,23.0,Y,253.07,2.4,Yes,1.61,Loyalty
RID2701,Chcago,2023-01-05,57.0,170.0,-0.9,Yes,228.84,1.2,N,0.88,Discouunt
RID2702,Ney York,01-10-2023,39.0,281.0,22.4,Y,55.3,1.5,,1.55,
RID2703,Denver,04-09-2023,40.0,257.0,31.2,yes,283.09,3.1,,1.28,Discouunt
RID2704,New York,2023-01-11,112.0,174.0,31.9,No,425.65,2.0,no,1.86,Discount
RID2705,New York,03/11/2023,96.0,171.0,3.8,yes,426.25,1.2,Yes,0.9,
RID2706,Los Angeles,2023-04-01,25.0,147.0,39.3,Y,$119.02,3.3,N,1.3,loyalti
RID2707,Huston,11-21-2023,32.0,252.0,38.4,Yes,162.73,3.4,No,"1,58",None
RID2708,Houston,32/13/2024,120.0,233.0,hot,yes,265.82,4.5,no,"1,83",
RID2709,Chicago,06-06-2023,9.0,51.0,17.2,,234.88,1.0,N,1.17,Loyalty
RID2710,Chicago,05-09-2023,86.0,243.0,30.5,,242.64,4.1,Yes,1.25,loyalti
RID2711,Chcago,04/03/2023,6.0,166.0,10.1,TRUE,392.29,2.3,no,1.33,Discount
RID2712,LA,09-14-2023,72.0,208.0,16.6,yes,86.43,1.2,Yes,1.59,Discouunt
RID2713,Ney York,01/09/2023,144.0,228.0,1.2,TRUE,196.56,4.0,No,1.76,
RID2714,NYC,02-28-2023,49.0,164.0,22.6,Y,258.56,3.9,no,1.53,loyalti
RID2715,Chicago,06-17-2023,16.0,279.0,15.6,yes,324.82,4.3,Yes,"0,87",None
RID2716,denver,21/08/2023,35.0,238.0,18.7,Yes,420.05,3.3,no,"0,92",
RID2717,NYC,03-29-2023,9.0,249.0,-1.1,No,235.65,3.5,N,1.16,None
RID2718,Los Angeles,2023-09-28,28.0,120.0,6.6,,381.68,6.0,Yes,1.66,Discount
RID2719,Los Angeles,10-14-2023,11.0,119.0,15.9,Yes,271.72,3.4,no,1.45,
RID2720,Houston,2023-07-30,14.0,58.0,13.7,Y,386.65,1.9,no,1.0,
RID2721,Denver,2023-06-17,172.0,179.0,11.1,No,466.99,3.8,Yes,1.0,loyalti
RID2722,Denver,2023-04-24,168.0,81.0,5.4,yes,363.71,3.1,N,0.88,Discount
RID2723,Denver,31/03/2023,195.0,298.0,37.3,No,$419.27,0.0,No,1.75,
RID2724,Houston,32/13/2024,196.0,223.0,30.7,,$207.09,0.0,,1.12,None
RID2725,Chcago,07-21-2023,135.0,159.0,16.6,,54.07,2.5,N,1.04,Discouunt
RID2726,New York,14/06/2023,116.0,120.0,hot,TRUE,481.6,0.0,,1.99 USD,Discouunt
RID2727,New York,13/02/2023,103.0,278.0,16.7,,123.32,2.5,N,1.02,Discouunt
RID2728,newyork,04-16-2023,17.0,257.0,20.5,Y,$276.38,3.4,No,1.67,Loyalty
RID2729,NYC,01-05-2023,90.0,231.0,11.3,,373.71,3.9,no,1.77,loyalti
RID2730,Ney York,12-11-2023,199.0,152.0,7.2,Yes,137.01,1.2,,1.82,Loyalty
RID2731,Chicago,29/05/2023,68.0,132.0,34.3,yes,404.97,1.8,Yes,1.73,
RID2732,Chcago,07/04/2023,,286.0,18.0,TRUE,352.98,4.6,no,1.82,Loyalty
RID2733,Ney York,23/09/2023,183.0,200.0,7.3,Yes,437.15,6.0,,1.98,Discouunt
RID2734,Houston,03/02/2023,4.0,,20.7,,110.4,3.4,No,0.83,Loyalty
RID2735,Ney York,06-16-2023,163.0,291.0,8.8,TRUE,160.76,1.5,,0.89,Discouunt
RID2736,Ney York,24/10/2023,79.0,289.0,15.4,yes,291.25,6.0,no,1.03,Discount
RID2737,newyork,08/08/2023,183.0,199.0,23.2,Yes,266.06,1.5,no,1.58,
RID2738,New York,32/13/2024,45.0,210.0,hot,Y,57.84,1.9,,1.17,None
RID2739,Ney York,16/10/2023,147.0,84.0,7.4,Y,$496.79,2.8,,1.42,loyalti
RID2740,denver,32/13/2024,128.0,208.0,28.7,yes,250.44,3.5,no,1.67,Loyalty
RID2741,Chcago,09/02/2023,133.0,152.0,-1.3,TRUE,459.75,3.5,Yes,1.21,
RID2742,Ney York,14/06/2023,196.0,176.0,34.4,yes,369.11,2.8,,1.79,
RID2743,Chicago,12-23-2023,31.0,288.0,37.7,,475.26,3.7,,0.87,Discouunt
RID2744,denver,27/10/2023,120.0,230.0,1.1,yes,140.03,3.7,,1.98,Discouunt
RID2745,newyork,06-27-2023,25.0,,7.5,yes,145.04,2.1,Yes,0.82,Loyalty
RID2746,Ney York,2023-09-17,58.0,122.0,10.2,Y,244.59,3.3,No,1.84,Discouunt
RID2747,Ney York,32/13/2024,121.0,,35.0,,214.68,3.4,,1.97,loyalti
RID2748,NYC,09-03-2023,100.0,154.0,8.7,TRUE,71.31,1.1,N,0.81,loyalti
RID2749,Ney York,07-22-2023,174.0,142.0,9.3,No,161.23,3.5,N,1.02 USD,None
RID2750,NYC,30/07/2023,48.0,155.0,3.1,TRUE,206.4,4.5,no,1.34,Loyalty
RID2751,NYC,05/09/2023,96.0,299.0,26.0,,433.31,3.4,N,1.89 USD,
RID2752,LA,02-28-2023,40.0,241.0,19.9,yes,275.6,4.8,Yes,1.81,None
RID2753,denver,09/12/2023,118.0,291.0,hot,No,325.91,1.1,,1.51,Discount
RID2754,Denver,09-08-2023,103.0,129.0,30.0,Y,191.77,4.7,,1.49,loyalti
RID2755,Chcago,2023-12-15,177.0,165.0,36.7,No,431.82,2.0,N,0.96,Discouunt
RID2756,New York,16/11/2023,13.0,175.0,16.4,Y,165.43,3.8,,1.95,
RID2757,Houston,2023-08-24,54.0,117.0,3.8,Y,111.25,4.8,Yes,1.71,Discount
RID2758,New York,18/01/2023,3.0,61.0,-2.5,No,392.68,1.5,N,1.72,
RID2759,LA,05-01-2023,151.0,251.0,21.1,Yes,$123.83,0.0,,1.28,
RID2760,denver,2023-03-28,126.0,221.0,39.5,Yes,251.82,1.3,Yes,1.3,Discouunt
RID2761,Chcago,02-22-2023,131.0,132.0,39.3,yes,$212.57,6.0,,"1,51",None
RID2762,Chicago,2023-12-21,135.0,176.0,3.2,TRUE,403.75,2.1,no,1.3 USD,
RID2763,Houston,05-07-2023,,135.0,-3.1,Y,268.35,1.8,N,0.91 USD,None
RID2764,Chcago,32/13/2024,45.0,,16.9,Yes,289.98,4.7,No,1.64,loyalti
RID2765,newyork,2023-01-07,0.0,88.0,16.2,,192.68,3.6,N,1.45,
RID2766,Chcago,05/05/2023,14.0,65.0,hot,yes,169.35,1.4,No,1.72,Discouunt
RID2767,Houston,10/08/2023,166.0,141.0,3.3,No,203.22,1.1,No,1.22,None
RID2768,Denver,2023-07-20,21.0,175.0,29.0,No,368.58,4.4,,"1,65",Discount
RID2769,Los Angeles,06-26-2023,117.0,219.0,22.6,Y,179.11,4.0,No,1.21,
RID2770,Ney York,2023-01-31,115.0,121.0,2.0,TRUE,270.05,3.0,N,1.74,Discount
RID2771,denver,30/08/2023,107.0,60.0,16.6,TRUE,269.83,2.9,Yes,1.14,None
RID2772,Huston,12/01/2023,34.0,144.0,31.1,Yes,167.93,3.6,no,0.86,None
RID2773,Los Angeles,02-03-2023,15.0,270.0,23.5,TRUE,78.29,1.2,Yes,1.02,loyalti
RID2774,newyork,02-15-2023,53.0,53.0,11.4,yes,115.0,1.7,no,1.75,Discouunt
RID2775,Chicago,2023-03-15,129.0,202.0,38.2,Y,491.22,3.6,,1.35,Discouunt
RID2776,New York,2023-01-08,,248.0,32.7,,159.46,2.2,no,1.33,
RID2777,Ney York,2023-07-23,154.0,228.0,26.5,,307.19,4.9,Yes,1.9,Discouunt
RID2778,NYC,08/08/2023,75.0,58.0,4.1,yes,389.69,3.0,no,1.13,
RID2779,Ney York,10/10/2023,110.0,99.0,15.4,No,428.76,1.5,No,1.58,
RID2780,NYC,04/05/2023,193.0,290.0,18.3,TRUE,388.7,3.6,no,1.62 USD,None
RID2781,NYC,2023-06-07,132.0,104.0,20.8,yes,$80.36,4.4,no,1.85,
RID2782,newyork,17/07/2023,145.0,180.0,34.4,yes,330.39,4.5,No,1.62,Loyalty
RID2783,Los Angeles,2023-09-20,97.0,221.0,hot,yes,452.89,5.0,No,0.85,loyalti
RID2784,New York,20/06/2023,107.0,141.0,hot,yes,165.44,1.8,no,1.29,
RID2785,NYC,21/08/2023,42.0,163.0,25.1,Yes,$252.73,4.6,,1.91,Discount
RID2786,Ney York,2023-06-01,9999.0,292.0,30.7,No,274.94,3.3,N,0.89,Discount
RID2787,NYC,10-27-2023,,70.0,14.7,Y,$241.81,2.2,no,1.31,
RID2788,NYC,09-07-2023,193.0,70.0,16.9,yes,203.39,3.0,No,1.27,
RID2789,New York,18/06/2023,160.0,148.0,15.4,No,332.7,2.3,Yes,1.73,Discouunt
RID2790,LA,08-28-2023,65.0,51.0,26.3,Yes,159.37,2.9,no,0.93,
RID2791,NYC,09/10/2023,173.0,66.0,12.5,Yes,146.18,3.3,N,1.21,
RID2792,newyork,2023-12-20,24.0,261.0,10.7,TRUE,346.88,4.9,no,0.84 USD,None
RID2793,Houston,2023-11-13,9999.0,241.0,12.3,Yes,$268.61,3.3,,1.36,Discouunt
RID2794,Denver,2023-08-21,98.0,218.0,22.0,,443.05,2.1,no,1.02,
RID2795,denver,2023-01-05,132.0,108.0,-2.0,No,486.97,5.0,No,1.29,loyalti
RID2796,NYC,10-20-2023,64.0,270.0,-2.1,,482.09,1.6,,0.98,None
RID2797,NYC,2023-09-17,93.0,89.0,2.5,Yes,70.71,3.1,no,1.84 USD,Discount
RID2798,New York,03-08-2023,25.0,287.0,36.7,yes,182.58,4.3,,"1,37",
RID2799,Chicago,18/01/2023,131.0,101.0,24.2,Y,$428.11,3.4,no,1.58,
RID2800,Chicago,04-11-2023,172.0,77.0,-3.4,yes,311.26,1.1,No,1.94,Discouunt
RID2801,denver,25/09/2023,138.0,,39.9,Yes,363.83,2.2,Yes,1.16,None
RID2802,Chcago,2023-08-24,69.0,88.0,30.6,Y,209.22,3.1,No,1.74,Loyalty
RID2803,LA,2023-08-07,45.0,114.0,0.2,,231.29,3.2,no,1.21,Discount
RID2804,newyork,01-06-2023,102.0,154.0,-999,TRUE,$332.49,4.1,N,0.99,Discouunt
RID2805,Ney York,2023-06-03,167.0,261.0,-2.4,,460.57,3.8,N,1.41 USD,Discouunt
RID2806,NYC,12-15-2023,148.0,63.0,9.7,Y,209.57,1.5,no,1.77,
RID2807,Ney York,21/07/2023,14.0,163.0,35.0,Yes,197.22,4.5,no,1.51,
RID2808,newyork,21/01/2023,33.0,280.0,8.9,No,260.78,1.1,no,0.92,Loyalty
RID2809,newyork,2023-10-30,137.0,278.0,3.7,TRUE,346.96,3.0,Yes,1.97 USD,
RID2810,New York,13/09/2023,89.0,55.0,33.3,,219.57,3.8,no,1.72,Discount
RID2811,Los Angeles,2023-06-26,64.0,188.0,28.8,TRUE,166.5,2.7,Yes,1.89,Discouunt
RID2812,Chcago,08/10/2023,9.0,214.0,33.5,yes,356.76,4.9,,0.87,Loyalty
RID2813,Chcago,11/04/2023,49.0,99.0,6.2,,$465.91,1.1,no,1.96,
RID2814,Chicago,12-22-2023,11.0,60.0,32.8,Yes,97.23,1.9,no,1.77 USD,Discount
RID2815,denver,2023-08-15,103.0,253.0,13.5,Y,251.74,1.1,N,1.16,loyalti
RID2816,LA,32/13/2024,167.0,189.0,12.2,TRUE,276.35,1.8,N,0.94,Discouunt
RID2817,LA,06-14-2023,155.0,295.0,24.5,yes,362.02,2.4,Yes,1.48,None
RID2818,Houston,19/03/2023,55.0,111.0,30.7,Y,271.52,4.7,Yes,1.37,None
RID2819,Chicago,32/13/2024,94.0,273.0,17.4,yes,320.93,2.4,No,1.93,Discount
RID2820,denver,09-09-2023,53.0,142.0,8.3,Yes,290.16,4.3,no,1.09 USD,
RID2821,Ney York,05-05-2023,144.0,72.0,20.5,,277.16,4.2,No,1.03,None
RID2822,NYC,01-11-2023,119.0,234.0,39.4,Y,257.34,2.7,No,1.18,loyalti
RID2823,Chcago,2023-11-04,70.0,50.0,23.9,Yes,315.09,2.2,Yes,1.09,
RID2824,LA,23/04/2023,113.0,207.0,-3.8,yes,75.3,2.3,N,1.24,None
RID2825,Denver,32/13/2024,78.0,156.0,34.9,yes,$340.07,3.8,Yes,0.81,None
RID2826,Ney York,03/01/2023,76.0,198.0,28.9,Y,51.64,1.7,N,1.22,loyalti
RID2827,Los Angeles,04-06-2023,98.0,124.0,3.9,Yes,55.47,2.1,N,1.53 USD,loyalti
RID2828,Chcago,2023-12-19,188.0,173.0,8.7,No,151.75,0.0,N,0.83,
RID2829,NYC,02/06/2023,33.0,274.0,39.9,,129.24,3.2,No,1.6,
RID2830,Denver,02-20-2023,113.0,68.0,30.0,TRUE,123.33,4.0,,1.45,Discount
RID2831,Houston,2023-12-22,97.0,214.0,19.3,Yes,467.65,2.6,No,1.55,None
RID2832,Ney York,2023-07-10,11.0,242.0,11.0,Y,478.9,3.0,N,1.97,Discount
RID2833,NYC,18/05/2023,42.0,162.0,12.8,No,291.2,3.5,Yes,0.96 USD,None
RID2834,Los Angeles,19/03/2023,159.0,175.0,12.2,Y,$391.63,4.6,Yes,1.99,Loyalty
RID2835,Houston,15/05/2023,63.0,211.0,24.2,yes,490.43,4.9,No,1.33,loyalti
,Los Angeles,02-09-2023,125.0,270.0,2.3,,$441.26,4.9,No,1.92 USD,Discouunt
RID2837,Los Angeles,16/08/2023,28.0,60.0,35.6,No,279.7,1.9,N,1.24 USD,Loyalty
RID2838,Houston,08/03/2023,174.0,245.0,37.6,,81.72,3.3,No,1.04,Discount
RID2839,New York,2023-10-31,39.0,209.0,5.1,Y,264.23,1.4,no,1.88,Discouunt
RID2840,Los Angeles,32/13/2024,95.0,164.0,39.3,Yes,368.24,4.8,No,0.94,loyalti
RID2841,denver,02-17-2023,75.0,58.0,33.7,Y,193.98,3.4,Yes,0.84,Discouunt
RID2842,denver,02/01/2023,51.0,,8.0,,199.94,3.8,no,1.52,
RID2843,Chicago,08-16-2023,116.0,136.0,34.2,Y,428.17,4.2,Yes,1.66,loyalti
RID2844,New York,2023-02-04,98.0,231.0,21.6,Yes,328.39,1.6,,1.65,Loyalty
RID2845,Denver,30/06/2023,179.0,114.0,11.9,,70.59,1.3,no,1.12,Discouunt
RID2846,New York,13/07/2023,105.0,281.0,16.7,TRUE,157.29,4.1,no,1.49,Discount
RID2847,Huston,02-21-2023,133.0,86.0,26.0,yes,71.34,2.9,N,1.62,loyalti
RID2848,New York,06-24-2023,11.0,161.0,32.7,yes,$187.99,1.7,N,"1,29",Loyalty
RID2849,NYC,04-24-2023,12.0,216.0,-4.4,Y,287.09,3.3,no,1.98,loyalti
RID2850,Ney York,08/08/2023,110.0,128.0,20.1,Yes,$245.31,2.0,No,1.0,None
RID2851,Chcago,2023-06-08,,268.0,38.8,yes,$275.71,2.7,,1.96,
RID2852,Los Angeles,07-25-2023,191.0,109.0,0.9,TRUE,417.55,0.0,Yes,0.94,loyalti
RID2853,Denver,30/01/2023,108.0,230.0,32.5,Yes,438.18,2.8,no,1.05,None
RID2854,LA,08-17-2023,143.0,228.0,-4.7,Yes,240.26,2.2,No,1.51,Discouunt
RID2855,newyork,11-08-2023,60.0,187.0,-0.9,Yes,125.83,3.6,,1.06 USD,Discount
RID2856,Chicago,2023-04-14,136.0,138.0,39.9,No,344.8,1.3,N,0.91,
RID2857,Los Angeles,08/04/2023,20.0,252.0,29.9,No,257.93,3.7,N,1.76,Discouunt
RID2858,Houston,2023-07-25,28.0,,10.6,Y,122.41,2.5,,0.81 USD,Discouunt
RID2859,LA,12-25-2023,29.0,91.0,36.5,yes,449.33,4.8,Yes,1.19,Discouunt
RID2860,Los Angeles,32/13/2024,117.0,181.0,12.7,TRUE,$389.87,4.2,,1.27,None
RID2861,Chicago,2023-03-22,57.0,58.0,31.0,,155.59,2.3,no,1.93,Loyalty
RID2862,Huston,06-23-2023,61.0,108.0,15.3,Yes,436.28,3.9,N,1.91,Loyalty
RID2863,LA,31/05/2023,125.0,,11.4,TRUE,260.56,2.0,N,0.91,None
RID2864,denver,11-06-2023,126.0,262.0,26.1,,341.91,3.7,No,1.6,
RID2865,newyork,01-22-2023,46.0,103.0,-4.3,Y,$384.58,4.2,Yes,1.84,
RID2866,denver,2023-02-21,41.0,215.0,13.4,Yes,203.6,1.6,N,1.72,
RID2867,NYC,17/03/2023,5.0,239.0,24.2,Y,458.98,3.6,,1.6,
RID2868,denver,02/12/2023,148.0,293.0,14.5,yes,$286.55,2.6,No,1.28,
RID2869,Huston,02-24-2023,27.0,223.0,19.8,yes,161.14,1.3,Yes,1.96,None
RID2870,Huston,2023-05-27,173.0,197.0,22.5,Yes,374.34,4.2,,1.2,None
RID2871,LA,2023-02-03,103.0,,8.3,Y,$313.54,2.0,,1.84,loyalti
RID2872,newyork,2023-06-16,22.0,,33.3,,472.95,4.7,No,1.52,Discount
RID2873,Denver,30/01/2023,68.0,128.0,31.4,yes,100.15,2.9,,0.92,loyalti
RID2874,Chicago,30/07/2023,176.0,264.0,37.1,yes,486.49,4.1,Yes,1.18,
RID2875,Huston,05-28-2023,151.0,266.0,26.2,No,158.47,3.8,,1.93,Discouunt
RID2876,Chicago,2023-07-28,182.0,239.0,31.9,No,334.53,4.7,No,0.91,Loyalty
RID2877,NYC,03/04/2023,163.0,269.0,2.4,yes,307.02,2.3,No,1.29,None
RID2878,NYC,2023-04-05,181.0,78.0,11.8,No,372.31,2.7,no,1.66,Discount
RID2879,Denver,22/04/2023,125.0,190.0,26.4,No,68.0,4.2,No,1.91,loyalti
RID2880,New York,10-05-2023,193.0,238.0,20.1,Y,236.43,3.7,No,1.15,Discount
RID2881,Huston,22/03/2023,140.0,265.0,28.7,No,169.35,3.6,no,0.86,Discouunt
RID2882,New York,23/11/2023,165.0,177.0,27.2,TRUE,331.21,5.0,N,1.07,
RID2883,Denver,19/03/2023,124.0,152.0,22.4,Yes,308.67,2.9,,1.84,loyalti
RID2884,denver,24/02/2023,104.0,177.0,14.1,yes,485.57,2.6,,1.52,Discouunt
RID2885,Chicago,21/07/2023,76.0,114.0,38.7,yes,91.28,4.8,no,"1,5",Loyalty
RID2886,Denver,2023-12-25,68.0,170.0,-3.0,No,190.35,4.0,no,"1,22",loyalti
RID2887,newyork,06-29-2023,112.0,258.0,-4.5,TRUE,282.57,4.4,Yes,1.62,Discouunt
RID2888,NYC,11/04/2023,192.0,110.0,6.5,Y,317.62,2.3,Yes,1.05,
RID2889,Houston,21/12/2023,167.0,237.0,-999,No,$455.25,3.5,no,1.14 USD,Discouunt
RID2890,newyork,2023-05-29,84.0,240.0,1.3,No,92.27,4.1,no,1.55,Loyalty
RID2891,Los Angeles,01-07-2023,,107.0,29.0,No,64.85,2.8,No,0.83,
RID2892,denver,2023-04-18,124.0,189.0,7.8,yes,$231.96,4.5,N,1.64,loyalti
RID2893,Chicago,27/04/2023,133.0,150.0,-4.4,yes,193.59,2.8,N,0.97,Discount
RID2894,Los Angeles,02-17-2023,163.0,186.0,11.0,Y,298.53,3.3,No,1.05,Loyalty
RID2895,New York,2023-07-02,194.0,273.0,36.9,Yes,$329.24,3.6,,1.48,None
RID2896,LA,2023-11-20,192.0,70.0,25.6,No,340.16,4.8,N,1.34,Discount
RID2897,Huston,07-07-2023,95.0,221.0,13.2,,86.28,2.8,No,1.64 USD,None
RID2898,Denver,21/10/2023,103.0,257.0,13.4,,167.22,6.0,N,0.96,loyalti
RID2899,denver,05-06-2023,195.0,293.0,24.7,No,320.69,2.1,N,1.58,Discouunt
RID2900,New York,2023-01-22,45.0,228.0,5.5,Yes,342.5,3.7,N,0.99,Discouunt
RID2901,New York,01/05/2023,140.0,235.0,4.2,Y,494.98,2.5,no,0.85,loyalti
RID2902,New York,32/13/2024,190.0,203.0,20.7,TRUE,51.81,3.4,no,1.47,loyalti
RID2903,newyork,11-23-2023,91.0,123.0,16.2,TRUE,214.89,6.0,Yes,1.1,None
RID2904,Chicago,03-10-2023,134.0,134.0,23.6,Y,360.61,2.9,no,1.06,Discount
,denver,32/13/2024,24.0,94.0,-999,No,54.24,4.9,,1.01,
RID2906,newyork,28/11/2023,1.0,194.0,hot,,98.52,4.0,No,1.69,
RID2907,Denver,01-10-2023,80.0,146.0,8.8,Y,302.88,3.6,no,1.6,Loyalty
RID2908,Chcago,23/08/2023,59.0,63.0,25.1,yes,484.02,3.2,,1.14 USD,
RID2909,Ney York,2023-04-01,44.0,224.0,3.4,No,472.27,1.9,Yes,1.56,None
RID2910,New York,09-30-2023,186.0,256.0,33.6,yes,80.15,3.5,no,"1,66",loyalti
RID2911,NYC,2023-08-27,40.0,298.0,-999,Yes,420.94,2.8,Yes,1.74,loyalti
RID2912,Los Angeles,01-12-2023,114.0,57.0,-4.0,TRUE,480.49,1.5,,1.95,
RID2913,NYC,15/09/2023,163.0,247.0,38.8,,341.57,1.5,No,1.73,Loyalty
RID2914,denver,08-06-2023,109.0,,5.2,Yes,368.67,3.2,No,1.66,
RID2915,Denver,2023-11-29,163.0,217.0,1.0,Y,244.6,4.7,,1.36,loyalti
RID2916,Chcago,2023-12-29,191.0,296.0,29.9,No,383.58,3.4,Yes,0.93,
RID2917,Ney York,2023-05-20,46.0,59.0,32.6,yes,461.53,3.2,No,1.93,Discount
RID2918,Denver,04/12/2023,22.0,,36.4,TRUE,$423.44,3.5,N,1.04,
RID2919,Houston,2023-04-21,6.0,157.0,9.6,No,345.39,2.8,,"1,65",
RID2920,Los Angeles,25/03/2023,46.0,99.0,39.3,,91.38,4.4,Yes,1.76,Discouunt
RID2921,New York,2023-06-12,44.0,150.0,-999,yes,467.99,2.2,no,1.77,
RID2922,Chcago,08-28-2023,101.0,114.0,0.8,Yes,412.92,2.0,no,1.98 USD,Discouunt
RID2923,Chicago,03-09-2023,195.0,291.0,7.5,TRUE,$299.52,1.5,,1.89,Discouunt
RID2924,denver,27/05/2023,175.0,88.0,28.7,No,256.84,0.0,N,1.96,loyalti
RID2925,denver,12-21-2023,161.0,70.0,24.8,,422.26,4.6,no,1.14 USD,loyalti
RID2926,NYC,07-29-2023,153.0,160.0,39.7,Yes,462.47,1.1,no,1.8,
RID2927,Chcago,2023-06-10,175.0,99.0,-999,Y,420.94,4.8,,1.08,loyalti
RID2928,Ney York,07-01-2023,95.0,72.0,hot,TRUE,75.71,4.9,no,1.88,
